id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,log_price,above_ground_ratio,bath_per_bed,living_to_lot_ratio,relative_living_size,relative_lot_size,neighborhood_density,distance_from_center,waterfront_view,house_age,is_renovated,years_since_reno,year_sale,month_sale,quarter_sale
1000102,6,3.0,2400,9373,2.0,0,0,3,7,2400,0,1991,0,98002,47.3262,-122.214,2060,7316,12.54254845357358,0.9995835068721366,0.42857142857142855,0.2560273095796885,1.1644832605531295,1.2809894765614322,3.54973313925279,0.23449251714630015,0,24,0,0,2014,9,3
1001200050,4,1.5,1260,7248,1.5,0,0,5,7,1260,0,1955,0,98188,47.433,-122.292,1300,7732,12.464587201678082,0.9992069785884219,0.3,0.1738170782176852,0.9684857801691007,0.9372817793870425,5.943120676402767,0.14968352579258362,0,60,0,0,2014,9,3
1003000175,3,1.0,980,7606,1.0,0,0,3,7,980,0,1954,0,98188,47.4356,-122.29,980,8125,12.30592250537653,0.9989806320081549,0.25,0.12882871039831734,0.9989806320081549,0.9360078759537288,8.28236493374108,0.14642237687127682,0,61,0,0,2014,12,4
100300280,3,2.25,1430,4777,2.0,0,0,3,7,1430,0,2010,0,98059,47.4867,-122.152,1639,3854,12.779875885354993,0.9993011879804332,0.5625,0.29928840519045624,0.8719512195121951,1.2391699092088198,2.35,0.09646948245186973,0,5,0,0,2014,10,4
100300530,3,2.5,1520,3003,2.0,0,0,3,7,1520,0,2009,0,98059,47.4876,-122.153,1820,3030,12.706850963741102,0.9993425378040762,0.625,0.5059920106524634,0.8347062053816584,0.9907621247113164,1.6639209225700164,0.09513772536458706,0,6,0,0,2014,9,3
1003400155,3,1.0,1100,7657,1.0,0,0,3,7,1100,0,1955,0,98188,47.4374,-122.285,1300,8000,12.358798024384122,0.9990917347865577,0.25,0.14364063724209977,0.8455034588777863,0.957005374328209,6.149116064565718,0.14232500937013515,0,60,0,0,2014,8,3
1003400245,3,1.0,1130,9907,1.0,0,0,3,7,1130,0,1954,0,98188,47.4362,-122.286,1320,9907,12.10043987059093,0.9991158267020336,0.25,0.11404925312878482,0.8554125662376987,0.9998990714574082,7.499621498864497,0.14386435456940952,0,61,0,0,2014,12,4
1003400250,3,1.0,1130,10650,1.0,0,0,3,7,1130,0,1954,0,98188,47.4363,-122.286,1320,10650,12.37581963951765,0.9991158267020336,0.25,0.10609332457046287,0.8554125662376987,0.9999061121021501,8.062074186222558,0.14377782866841135,0,61,0,0,2014,6,2
1003600056,4,2.0,1370,8837,1.5,0,0,3,7,1370,0,1955,0,98188,47.4386,-122.285,1360,9000,12.384223015005313,0.9992706053975201,0.4,0.15501244625480878,1.0066127847171198,0.9817798022441951,6.612784717119765,0.14128675204484378,0,60,0,0,2014,10,4
1003600080,3,1.0,1010,9678,1.0,0,0,5,7,1010,0,1955,0,98188,47.4396,-122.285,1010,9375,12.409017571151187,0.9990108803165183,0.25,0.10434962289492716,0.9990108803165183,1.0322098976109215,9.27299703264095,0.14042350698046502,0,60,0,0,2014,11,4
1005000062,2,1.0,1040,4600,1.0,0,0,4,6,1040,0,1950,0,98118,47.5387,-122.277,1390,5897,12.608202196848836,0.9990393852065321,0.3333333333333333,0.22603781786568136,0.7476635514018691,0.7799253984401492,4.239396117900791,0.06682380457827604,0,65,0,0,2014,8,3
100500020,3,2.5,1610,6600,2.0,0,0,3,7,1610,0,1994,0,98003,47.2827,-122.302,1660,7689,12.429220196836383,0.9993792675356921,0.625,0.24390243902439024,0.9692956050571945,0.8582574772431729,4.629139072847682,0.2916189883060259,0,21,0,0,2014,9,3
1005000250,2,1.0,840,5551,1.0,0,0,3,6,840,0,1952,0,98118,47.5354,-122.28,1270,4652,12.765691290604371,0.9988109393579072,0.3333333333333333,0.15129682997118155,0.6608969315499607,1.1929937674618525,3.6601101494885917,0.07077476973823324,0,63,0,0,2015,1,1
100600550,3,1.5,1300,7370,1.0,0,0,4,7,900,400,1976,0,98023,47.3025,-122.37,1430,7500,12.330504638906516,0.6917755572636434,0.375,0.1763668430335097,0.9084556254367575,0.9825356619117451,5.241090146750524,0.3017133133958381,0,39,0,0,2014,8,3
1015000050,4,2.5,2220,5900,2.0,0,0,3,8,2220,0,2014,0,98117,47.6956,-122.36,1620,5900,13.388721195472392,0.9995497523638001,0.5,0.37620742247076766,1.3695249845774213,0.9998305371970853,3.6397285626156695,0.19886068312783775,0,1,0,0,2015,1,1
1015500300,3,2.5,1870,7344,1.0,0,0,3,8,1470,400,1980,0,98034,47.7265,-122.206,1930,7344,13.02805489573287,0.7856761090326029,0.625,0.2545949625595643,0.9684101501812532,0.9998638529611981,3.803210771620922,0.16599554496340288,0,35,0,0,2014,5,2
1016000080,3,1.0,1620,10610,1.0,0,0,4,6,1620,0,1958,0,98059,47.474,-122.125,1680,10795,12.75130259456002,0.999383096853794,0.25,0.15267175572519084,0.9637120761451516,0.9827713968136347,6.421772754312909,0.12417165574754305,0,57,0,0,2014,11,4
1018000110,4,3.0,2300,7609,2.0,0,0,4,7,2300,0,1976,0,98002,47.2943,-122.227,940,5937,12.319405795112926,0.9995654063450674,0.6,0.30223390275952694,2.4442082890541976,1.2814078814415628,6.309245483528161,0.2667144556466104,0,39,0,0,2015,4,2
